position[nm]  e33[C/m^2]  e31[C/m^2]  e15[C/m^2]  B311[C/m^2]  B312[C/m^2]  B313[C/m^2]  B333[C/m^2]  B115[C/m^2]  B125[C/m^2]  B135[C/m^2]  B344[C/m^2]
    0.707143E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.710000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.712857E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.715714E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.718571E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.721000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.723000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.725000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.727000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.729000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.731000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.733000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.735000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.737000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.739000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.742000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.746000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.750000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.754000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.758000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.780000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.820000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.860000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.900000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.940000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.980000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
